"URI","country","elev","latitude","longitude","name","region","type"
"http://localhost:9091/project/volcanos/source/30","Indonesia","1717","-8.242E0","1.15375E2","Batur","Lesser Sunda Is","Caldera"
"http://localhost:9091/project/volcanos/source/3","Indonesia","3142","-8.342E0","1.15508E2","Agung","Lesser Sunda Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/299","Colombia","4764","9.8E-1","-7.788E1","Cumbal","Colombia","Stratovolcano"
"http://localhost:9091/project/volcanos/source/298","Ecuador","5911","..677E-1","-7.8436E1","Cotopaxi","Ecuador","Stratovolcano"
"http://localhost:9091/project/volcanos/source/297","Chile","1798","-4.052E1","-7.22E1","Cordon Caulle","Chile-C","Fissure vent"
"http://localhost:9091/project/volcanos/source/296","Indonesia","3078","-6.892E0","1.084E2","Cereme","Java","Stratovolcano"
"http://localhost:9091/project/volcanos/source/295","Vietnam","-20","1.0158E1","1.09014E2","Cendres, Ile des","SE Asia","Submarine volcanoes"
"http://localhost:9091/project/volcanos/source/294","Antarctica","550","-5.708E1","-2.667E1","Candlemas Island","Antarctica","Stratovolcano"
"http://localhost:9091/project/volcanos/source/293","Chile","2003","-4.1326E1","-7.2614E1","Calbuco","Chile-S","Stratovolcano"
"http://localhost:9091/project/volcanos/source/292","Chile","1758","-5.233E1","-7.34E1","Burney, Monte","Chile-S","Stratovolcano"
"http://localhost:9091/project/volcanos/source/291","Antarctica","1100","-5.903E1","-2.658E1","Bristol Island","Antarctica","Stratovolcano"
"http://localhost:9091/project/volcanos/source/290","Philippines","1187","1.1523E1","1.24534E2","Biliran","Philippines-C","Compound volcano"
"http://localhost:9091/project/volcanos/source/29","India","354","1.2292E1","9.3875E1","Barren Island","Andaman Is-Indian O","Stratovolcano"
"http://localhost:9091/project/volcanos/source/289","Indonesia","1899","-4.43E0","1.0367E2","Besar","Sumatra","Stratovolcano"
